x1,x2,rho,y1,y2
-2,-2,8,-0.000670925,0.072750017
-1.875,-2,7.515625,-0.001020955,-0.165968676
-1.75,-2,7.0625,-0.001499109,-0.355697667
-1.625,-2,6.640625,-0.002122592,-0.468397843
-1.5,-2,6.25,-0.002895681,-0.499724709
-1.375,-2,5.890625,-0.003802216,-0.461966315
-1.25,-2,5.5625,-0.004798958,-0.375676836
-1.125,-2,5.265625,-0.005811934,-0.262721637
-1,-2,5,-0.006737947,-0.141831093
-0.875,-2,4.765625,-0.007452868,-0.026605439
-0.75,-2,4.5625,-0.007826952,0.074664179
-0.625,-2,4.390625,-0.007745613,0.158120252
-0.5,-2,4.25,-0.007132117,0.223043745
-0.375,-2,4.140625,-0.005967339,0.270558153
-0.25,-2,4.0625,-0.004301488,0.302549011
-0.125,-2,4.015625,-0.00225396,0.320869637
0,-2,4,0,0.32682181
0.125,-2,4.015625,0.00225396,0.320869637
0.25,-2,4.0625,0.004301488,0.302549011
0.375,-2,4.140625,0.005967339,0.270558153
0.5,-2,4.25,0.007132117,0.223043745
0.625,-2,4.390625,0.007745613,0.158120252
0.75,-2,4.5625,0.007826952,0.074664179
0.875,-2,4.765625,0.007452868,-0.026605439
1,-2,5,0.006737947,-0.141831093
1.125,-2,5.265625,0.005811934,-0.262721637
1.25,-2,5.5625,0.004798958,-0.375676836
1.375,-2,5.890625,0.003802216,-0.461966315
1.5,-2,6.25,0.002895681,-0.499724709
1.625,-2,6.640625,0.002122592,-0.468397843
1.75,-2,7.0625,0.001499109,-0.355697667
1.875,-2,7.515625,0.001020955,-0.165968676
-2,-1.875,7.515625,-0.001089019,-0.177033254
-1.875,-1.875,7.03125,-0.001657174,-0.390936895
-1.75,-1.875,6.578125,-0.002433294,-0.510303826
-1.625,-1.875,6.15625,-0.003445307,-0.529042414
-1.5,-1.875,5.765625,-0.004700155,-0.463482043
-1.375,-1.875,5.40625,-0.006171605,-0.341072121
-1.25,-1.875,5.078125,-0.007789478,-0.19073959
-1.125,-1.875,4.78125,-0.009433699,-0.036696859
-1,-1.875,4.515625,-0.010936768,0.10426495
-0.875,-1.875,4.28125,-0.012097198,0.222883107
-0.75,-1.875,4.078125,-0.012704398,0.316045229
-0.625,-1.875,3.90625,-0.012572371,0.384863795
-0.5,-1.875,3.765625,-0.011576569,0.432815419
-0.375,-1.875,3.65625,-0.009685947,0.464246101
-0.25,-1.875,3.578125,-0.006982004,0.483319057
-0.125,-1.875,3.53125,-0.003658538,0.493354282
0,-1.875,3.515625,0,0.496459526
0.125,-1.875,3.53125,0.003658538,0.493354282
0.25,-1.875,3.578125,0.006982004,0.483319057
0.375,-1.875,3.65625,0.009685947,0.464246101
0.5,-1.875,3.765625,0.011576569,0.432815419
0.625,-1.875,3.90625,0.012572371,0.384863795
0.75,-1.875,4.078125,0.012704398,0.316045229
0.875,-1.875,4.28125,0.012097198,0.222883107
1,-1.875,4.515625,0.010936768,0.10426495
1.125,-1.875,4.78125,0.009433699,-0.036696859
1.25,-1.875,5.078125,0.007789478,-0.19073959
1.375,-1.875,5.40625,0.006171605,-0.341072121
1.5,-1.875,5.765625,0.004700155,-0.463482043
1.625,-1.875,6.15625,0.003445307,-0.529042414
1.75,-1.875,6.578125,0.002433294,-0.510303826
1.875,-1.875,7.03125,0.001657174,-0.390936895
-2,-1.75,7.0625,-0.001713268,-0.406511619
-1.875,-1.75,6.578125,-0.002607101,-0.5467541
-1.75,-1.75,6.125,-0.003828109,-0.564294155
-1.625,-1.75,5.703125,-0.005420229,-0.477959771
-1.5,-1.75,5.3125,-0.007394381,-0.322705199
-1.375,-1.75,4.953125,-0.009709298,-0.136238563
-1.25,-1.75,4.625,-0.012254569,0.049873025
-1.125,-1.75,4.328125,-0.014841292,0.214215368
-1,-1.75,4.0625,-0.01720595,0.345770298
-0.875,-1.75,3.828125,-0.019031564,0.441970665
-0.75,-1.75,3.625,-0.019986823,0.505952192
-0.625,-1.75,3.453125,-0.019779116,0.543922855
-0.5,-1.75,3.3125,-0.018212499,0.563103345
-0.375,-1.75,3.203125,-0.015238133,0.570347133
-0.25,-1.75,3.125,-0.010984233,0.571349912
-0.125,-1.75,3.078125,-0.005755689,0.57027806
0,-1.75,3.0625,0,0.569642175
0.125,-1.75,3.078125,0.005755689,0.57027806
0.25,-1.75,3.125,0.010984233,0.571349912
0.375,-1.75,3.203125,0.015238133,0.570347133
0.5,-1.75,3.3125,0.018212499,0.563103345
0.625,-1.75,3.453125,0.019779116,0.543922855
0.75,-1.75,3.625,0.019986823,0.505952192
0.875,-1.75,3.828125,0.019031564,0.441970665
1,-1.75,4.0625,0.01720595,0.345770298
1.125,-1.75,4.328125,0.014841292,0.214215368
1.25,-1.75,4.625,0.012254569,0.049873025
1.375,-1.75,4.953125,0.009709298,-0.136238563
1.5,-1.75,5.3125,0.007394381,-0.322705199
1.625,-1.75,5.703125,0.005420229,-0.477959771
1.75,-1.75,6.125,0.003828109,-0.564294155
1.875,-1.75,6.578125,0.002607101,-0.5467541
-2,-1.625,6.640625,-0.002612421,-0.576489653
-1.875,-1.625,6.15625,-0.003975355,-0.610433554
-1.75,-1.625,5.703125,-0.00583717,-0.514725907
-1.625,-1.625,5.28125,-0.008264863,-0.331490948
-1.5,-1.625,4.890625,-0.011275085,-0.109103886
-1.375,-1.625,4.53125,-0.014804912,0.11086156
-1.25,-1.625,4.203125,-0.018685986,0.300021389
-1.125,-1.625,3.90625,-0.022630268,0.44407361
-1,-1.625,3.640625,-0.026235941,0.540336042
-0.875,-1.625,3.40625,-0.02901967,0.59395827
-0.75,-1.625,3.203125,-0.030476266,0.614219989
-0.625,-1.625,3.03125,-0.030159551,0.611642107
-0.5,-1.625,2.890625,-0.027770744,0.596106195
-0.375,-1.625,2.78125,-0.023235378,0.575862191
-0.25,-1.625,2.703125,-0.016748956,0.557171254
-0.125,-1.625,2.65625,-0.008776378,0.544317015
0,-1.625,2.640625,0,0.539765067
0.125,-1.625,2.65625,0.008776378,0.544317015
0.25,-1.625,2.703125,0.016748956,0.557171254
0.375,-1.625,2.78125,0.023235378,0.575862191
0.5,-1.625,2.890625,0.027770744,0.596106195
0.625,-1.625,3.03125,0.030159551,0.611642107
0.75,-1.625,3.203125,0.030476266,0.614219989
0.875,-1.625,3.40625,0.02901967,0.59395827
1,-1.625,3.640625,0.026235941,0.540336042
1.125,-1.625,3.90625,0.022630268,0.44407361
1.25,-1.625,4.203125,0.018685986,0.300021389
1.375,-1.625,4.53125,0.014804912,0.11086156
1.5,-1.625,4.890625,0.011275085,-0.109103886
1.625,-1.625,5.28125,0.008264863,-0.331490948
1.75,-1.625,5.703125,0.00583717,-0.514725907
1.875,-1.625,6.15625,0.003975355,-0.610433554
-2,-1.5,6.25,-0.003860908,-0.666299612
-1.875,-1.5,5.765625,-0.005875193,-0.579352554
-1.75,-1.5,5.3125,-0.008626778,-0.376489399
-1.625,-1.5,4.890625,-0.012214675,-0.118195877
-1.5,-1.5,4.5,-0.016663495,0.140530533
-1.375,-1.5,4.140625,-0.021880241,0.360744204
-1.25,-1.5,3.8125,-0.027616097,0.522171929
-1.125,-1.5,3.515625,-0.033445368,0.620574407
-1,-1.5,3.25,-0.038774208,0.662753117
-0.875,-1.5,3.015625,-0.042888292,0.661384374
-0.75,-1.5,2.8125,-0.045041001,0.630890649
-0.625,-1.5,2.640625,-0.044572927,0.584745489
-0.5,-1.5,2.5,-0.041042499,0.534095744
-0.375,-1.5,2.390625,-0.034339662,0.487352624
-0.25,-1.5,2.3125,-0.024753352,0.450363361
-0.125,-1.5,2.265625,-0.012970645,0.426835895
0,-1.5,2.25,0,0.418782415
0.125,-1.5,2.265625,0.012970645,0.426835895
0.25,-1.5,2.3125,0.024753352,0.450363361
0.375,-1.5,2.390625,0.034339662,0.487352624
0.5,-1.5,2.5,0.041042499,0.534095744
0.625,-1.5,2.640625,0.044572927,0.584745489
0.75,-1.5,2.8125,0.045041001,0.630890649
0.875,-1.5,3.015625,0.042888292,0.661384374
1,-1.5,3.25,0.038774208,0.662753117
1.125,-1.5,3.515625,0.033445368,0.620574407
1.25,-1.5,3.8125,0.027616097,0.522171929
1.375,-1.5,4.140625,0.021880241,0.360744204
1.5,-1.5,4.5,0.016663495,0.140530533
1.625,-1.5,4.890625,0.012214675,-0.118195877
1.75,-1.5,5.3125,0.008626778,-0.376489399
1.875,-1.5,5.765625,0.005875193,-0.579352554
-2,-1.375,5.890625,-0.005530496,-0.671951004
-1.875,-1.375,5.40625,-0.008415826,-0.465098346
-1.75,-1.375,4.953125,-0.012357289,-0.173394535
-1.625,-1.375,4.53125,-0.017496714,0.131018208
-1.5,-1.375,4.140625,-0.023869354,0.393539131
-1.375,-1.375,3.78125,-0.031341999,0.583491158
-1.25,-1.375,3.453125,-0.039558233,0.692265452
-1.125,-1.375,3.15625,-0.047908278,0.727194606
-1,-1.375,2.890625,-0.055541488,0.70448914
-0.875,-1.375,2.65625,-0.061434643,0.643283745
-0.75,-1.375,2.453125,-0.064518255,0.561614912
-0.625,-1.375,2.28125,-0.06384777,0.474311093
-0.5,-1.375,2.140625,-0.058790666,0.392354764
-0.375,-1.375,2.03125,-0.049189295,0.323166965
-0.25,-1.375,1.953125,-0.03545754,0.271332377
-0.125,-1.375,1.90625,-0.018579591,0.239416429
0,-1.375,1.890625,0,0.228657401
0.125,-1.375,1.90625,0.018579591,0.239416429
0.25,-1.375,1.953125,0.03545754,0.271332377
0.375,-1.375,2.03125,0.049189295,0.323166965
0.5,-1.375,2.140625,0.058790666,0.392354764
